city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,zips
Lester,Lester,AL,Alabama,1083,Limestone,34.9871,-87.1513,35647
Marblemount,Marblemount,WA,Washington,53057,Skagit,48.5418,-121.4397,98267
Stockton,Stockton,IA,Iowa,19139,Muscatine,41.5908,-90.8565,52769
Parnell,Parnell,MO,Missouri,29147,Nodaway,40.4384,-94.6223,64475
Shumway,Shumway,IL,Illinois,17049,Effingham,39.1834,-88.6532,62461
St. Johns,St. Johns,IL,Illinois,17145,Perry,38.0333,-89.24,62832
Pierson,Pierson,MI,Michigan,26117,Montcalm,43.3196,-85.4975,49339
Buckatunna,Buckatunna,MS,Mississippi,28153,Wayne,31.5424,-88.5292,39322
Olds,Olds,IA,Iowa,19087,Henry,41.1343,-91.5441,52659 52647
Stites,Stites,ID,Idaho,16049,Idaho,46.0921,-115.9762,83552
Humnoke,Humnoke,AR,Arkansas,5085,Lonoke,34.5422,-91.7596,72072
Jeddo,Jeddo,PA,Pennsylvania,42079,Luzerne,40.9903,-75.8958,18224
Roca,Roca,NE,Nebraska,31109,Lancaster,40.658,-96.6614,68430
Unionville,Unionville,MT,Montana,30049,Lewis and Clark,46.5456,-112.0799,59601
Hopewell,Hopewell,PA,Pennsylvania,42009,Bedford,40.1345,-78.2666,16650
Ocotillo,Ocotillo,CA,California,6025,Imperial,32.7431,-116.002,92259
Fort Washington,Fort Washington,CA,California,6019,Fresno,36.8793,-119.7613,93720
Coffey,Coffey,MO,Missouri,29061,Daviess,40.1056,-94.0065,64636
Lime Ridge,Lime Ridge,WI,Wisconsin,55111,Sauk,43.4676,-90.1577,53941 53942
Makena,Makena,HI,Hawaii,15009,Maui,20.631,-156.4252,96790 96753
Mendes,Mendes,GA,Georgia,13267,Tattnall,31.9953,-81.9709,30427
Mulkeytown,Mulkeytown,IL,Illinois,17055,Franklin,37.9721,-89.1112,62865
Arroyo Gardens,Arroyo Gardens,TX,Texas,48061,Cameron,26.2052,-97.5021,78586 78583
Wilsey,Wilsey,KS,Kansas,20127,Morris,38.6357,-96.6764,66873
Bee,Bee,OK,Oklahoma,40069,Johnston,34.125,-96.5687,74748
Old Fort,Old Fort,OH,Ohio,39147,Seneca,41.2419,-83.1514,44861 44883
Hublersburg,Hublersburg,PA,Pennsylvania,42027,Centre,40.9608,-77.6093,16841 16823
Aspers,Aspers,PA,Pennsylvania,42001,Adams,39.9792,-77.2276,17304
Redstone,Redstone,CO,Colorado,8097,Pitkin,39.1839,-107.2407,81623
Kamaili,Kamaili,HI,Hawaii,15001,Hawaii,19.4391,-154.9189,96778
Kamrar,Kamrar,IA,Iowa,19079,Hamilton,42.3896,-93.7278,50132
Rondo,Rondo,AR,Arkansas,5077,Lee,34.6575,-90.8208,72355
Knoxville,Knoxville,GA,Georgia,13079,Crawford,32.7233,-83.9959,31066 31050 31078
Centerville,Centerville,CA,California,6019,Fresno,36.7361,-119.4961,93657
Rackerby,Rackerby,CA,California,6007,Butte,39.4261,-121.3542,95914
Emmett,Emmett,KS,Kansas,20149,Pottawatomie,39.3071,-96.0578,66422
Norge,Norge,OK,Oklahoma,40051,Grady,34.9888,-97.9941,73018
Beaverton,Beaverton,AL,Alabama,1075,Lamar,33.9354,-88.0218,35544
Maunie,Maunie,IL,Illinois,17193,White,38.0355,-88.0456,62861
Sedgwick,Sedgwick,CO,Colorado,8115,Sedgwick,40.9355,-102.5256,80749
New Burnside,New Burnside,IL,Illinois,17087,Johnson,37.5787,-88.7727,62967
Ulysses,Ulysses,NE,Nebraska,31023,Butler,41.0721,-97.203,68669
Norwood,Norwood,MI,Michigan,26029,Charlevoix,45.2239,-85.3791,49720
Beaver Marsh,Beaver Marsh,OR,Oregon,41035,Klamath,43.1364,-121.8042,97731
Roadstown,Roadstown,NJ,New Jersey,34011,Cumberland,39.4431,-75.3169,08302
Cubero,Cubero,NM,New Mexico,35006,Cibola,35.0904,-107.5261,87014
Alverda,Alverda,PA,Pennsylvania,42063,Indiana,40.6346,-78.8584,15714 15710
San Jon,San Jon,NM,New Mexico,35037,Quay,35.1113,-103.3364,88434
Finland,Finland,MN,Minnesota,27075,Lake,47.4288,-91.2656,55603
Grand Marsh,Grand Marsh,WI,Wisconsin,55001,Adams,43.8852,-89.7072,53936
